,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
70,Dartmouth,27,7,20,.259,-11.15,-3.45,,4,10,,3,9,,4,11,,67.1,74.8,,40.2,23.4,54.2,.431,7.37,20.9,.352,13.0,18.3,.709,9.22,34.0,11.1,4.59,1.78,14.9,18.3
71,Davidson,32,17,15,.531,6.45,4.26,,8,10,,8,5,,5,7,,73.8,71.6,,40.3,25.4,58.2,.437,9.13,26.8,.341,13.8,18.3,.753,8.91,35.9,15.6,5.09,3.31,12.2,18.2
72,Dayton NCAA,32,24,8,.750,12.98,4.27,,15,3,,15,1,,7,3,,75.9,66.4,,40.2,25.6,55.1,.465,8.06,21.0,.385,16.6,24.0,.690,8.66,34.3,15.6,7.78,4.00,11.8,18.8
73,Delaware State,32,10,22,.313,-18.81,-9.37,,7,9,,4,7,,6,14,,68.3,75.0,,40.5,24.4,58.3,.419,8.22,22.7,.362,11.2,17.0,.659,10.9,33.0,13.4,5.53,2.78,13.6,19.0
74,Delaware,33,13,20,.394,-9.97,-1.42,,5,13,,9,5,,3,12,,65.4,72.2,,40.2,23.5,55.7,.422,5.94,19.5,.305,12.5,18.2,.686,9.76,35.1,11.7,5.33,3.09,12.0,18.9
75,Denver,30,16,14,.533,-2.99,-4.19,,8,8,,8,5,,7,8,,75.8,74.6,,40.3,27.0,56.1,.482,7.43,18.5,.402,14.3,19.4,.734,9.10,35.3,15.1,5.00,2.13,13.5,20.1
76,DePaul,32,9,23,.281,2.09,7.78,,2,16,,8,10,,1,9,,68.9,74.6,,40.2,24.2,56.4,.430,5.75,17.6,.326,14.8,20.1,.735,10.6,33.0,11.4,6.66,2.88,14.1,19.8
77,Detroit Mercy,31,8,23,.258,-10.72,-1.62,,6,12,,5,9,,3,13,,77.0,84.8,,40.5,26.8,60.2,.445,8.10,21.8,.372,15.4,23.1,.664,10.3,33.4,12.8,6.55,2.52,14.5,23.9
78,Drake,31,7,24,.226,-4.71,1.91,,5,13,,6,9,,1,11,,71.2,77.1,,40.5,24.5,59.9,.409,8.71,25.2,.345,13.5,17.8,.756,10.0,34.5,13.0,6.06,2.42,12.5,18.2
79,Drexel,32,9,23,.281,-7.43,-2.56,,3,15,,5,8,,4,14,,74.9,78.4,,40.6,27.0,62.1,.435,8.00,23.2,.345,12.8,19.3,.666,11.9,36.8,14.7,5.84,3.06,13.3,20.1
80,Duke NCAA,37,28,9,.757,21.56,10.91,,11,7,,15,1,,4,6,,80.8,70.2,,40.0,27.5,57.9,.475,8.41,22.2,.378,17.4,22.8,.762,10.5,36.2,13.1,6.11,4.65,11.4,18.2
81,Duquesne,32,10,22,.313,-3.06,0.69,,3,15,,8,10,,1,10,,70.5,74.3,,40.0,24.5,57.3,.428,7.06,21.2,.334,14.4,21.3,.676,10.7,36.5,12.5,4.91,3.97,14.2,18.5
82,East Carolina,33,15,18,.455,-0.49,1.33,,6,12,,12,5,,1,11,,63.3,65.1,,40.0,21.7,54.5,.398,6.48,20.2,.320,13.4,20.4,.657,11.2,37.9,11.9,5.09,5.18,13.9,16.7
83,East Tennessee State NCAA,35,27,8,.771,7.31,-2.11,,14,4,,13,2,,8,5,,79.5,69.7,,40.4,27.4,56.2,.488,7.57,19.8,.382,17.1,24.3,.702,10.2,36.3,14.7,8.37,4.63,14.8,19.9
84,Eastern Illinois,29,14,15,.483,-5.35,-5.05,,6,10,,8,6,,6,9,,74.8,71.8,,41.2,26.6,63.9,.417,8.93,24.0,.372,12.6,17.3,.731,12.0,37.3,15.3,6.83,4.10,12.8,19.3
85,Eastern Kentucky,31,12,19,.387,-8.65,-2.44,,5,11,,8,6,,3,12,,70.9,75.2,,40.8,24.2,56.5,.428,7.58,23.6,.321,14.9,21.1,.705,9.23,32.8,13.6,5.97,3.65,13.9,20.0
86,Eastern Michigan,33,16,17,.485,-0.18,0.16,,7,11,,10,6,,5,10,,77.8,73.0,,40.3,27.8,62.0,.449,6.39,18.7,.343,15.7,21.7,.725,12.7,36.4,13.4,9.61,4.36,12.1,21.3
87,Eastern Washington,34,22,12,.647,-2.77,-4.43,,13,5,,15,1,,6,10,,79.3,76.2,,41.5,27.9,58.1,.479,8.26,21.8,.379,15.3,19.9,.770,9.09,35.2,12.4,4.65,4.76,12.2,20.0
88,Elon,32,18,14,.563,0.24,-1.39,,10,8,,10,4,,6,8,,75.1,71.6,,40.9,26.6,59.7,.445,9.63,27.1,.355,12.3,18.0,.685,9.09,37.8,14.6,5.16,2.28,11.7,16.6
